sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.enc.prompt.txt::01240,test.enc.prompt.txt::01240__row0,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,-0.656,-0.477,-9.469947,-0.370137,0.460949,-4.365164,-0.170614,39.267571,0.629291,0.000000,18.100356,0.290071
test.enc.prompt.txt::01240,test.enc.prompt.txt::01240__row1,Not if it,0.0,content_diversity,cannot be completed in a timely manner.,it takes too much time to complete.,takes too long to complete.,takes a while to complete.,it takes a long time to do it.,-0.098,0.862,-0.476,-0.908,-0.778,3.723333,0.162266,0.480615,1.789488,0.077987,34.607999,1.107088,0.000000,16.633106,0.532083
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241__row2,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,-0.736,-0.317,0.718591,-0.118226,0.342093,0.245825,-0.040444,18.641457,0.865845,0.000000,6.377116,0.296200
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241__row3,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,-0.887,-0.594,19.756015,1.452748,0.283150,5.593914,0.411345,14.032042,1.896465,0.000000,3.973172,0.536984
test.enc.prompt.txt::01242,test.enc.prompt.txt::01242__row4,How long you,1.0,content_diversity,have you been waiting,do turtles live,think will take him to get here,have been without home,think it will be before we get our meal,-0.018,0.963,-0.096,-0.647,-0.232,8.933656,0.563749,0.420125,3.753254,0.236845,32.161579,2.382496,0.000000,13.511889,1.000947
test.enc.prompt.txt::01242,test.enc.prompt.txt::01242__row5,How long you,0.0,content_diversity,have been here,waited for me,stayed here,arrived before me,waited here alone,-0.036,0.543,-0.192,-0.753,-0.368,3.881714,0.446160,0.408434,1.585423,0.182227,40.481214,2.110664,0.000000,16.533893,0.862066
test.enc.prompt.txt::01243,test.enc.prompt.txt::01243__row6,"Hey, it's okay.",1.0,content_diversity,we can go later,its just fine,hows your day going?,i am okay,lets talk about something else,0.000,1.000,-0.055,-0.677,-0.311,20.208752,1.630447,0.279696,5.652306,0.456029,15.621087,2.165714,0.000000,4.369155,0.605741
test.enc.prompt.txt::01243,test.enc.prompt.txt::01243__row7,"Hey, it's okay.",0.0,content_diversity,its perfectly fine,oh its fine now,everything is okay,it is fine,i am all fine now,-0.056,0.918,-0.413,-0.827,-0.821,24.628239,1.810462,0.268023,6.600930,0.485245,20.401027,1.098023,0.000000,5.467941,0.294295
test.enc.prompt.txt::01244,test.enc.prompt.txt::01244__row8,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,-0.658,-0.342,-9.759073,-1.042203,0.478184,-4.666632,-0.498365,24.365030,2.494263,0.000000,11.650966,1.192717
test.enc.prompt.txt::01244,test.enc.prompt.txt::01244__row9,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,-0.739,-0.595,0.259340,0.088391,0.386756,0.100301,0.034186,41.395632,1.804664,0.000000,16.010018,0.697965
test.enc.prompt.txt::01245,test.enc.prompt.txt::01245__row10,During the road,1.0,content_diversity,"rage, people loose their minds",you should be focused only on road,you can't be phoning,you shouldn't sleep,"driving, you need to have a license",-0.029,0.969,-0.109,-0.630,-0.205,18.244200,1.074486,0.337201,6.151958,0.362318,52.574525,1.594103,0.000000,17.728169,0.537533
test.enc.prompt.txt::01245,test.enc.prompt.txt::01245__row11,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,-0.775,-0.589,23.279276,1.313019,0.309176,7.197393,0.405954,12.629230,0.378570,0.000000,3.904654,0.117045
