sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v3,metric_icl_E_rate_qwen25_completion_v3,metric_icl_C_qwen25_completion_v3,metric_icl_D_qwen25_completion_v3,metric_icl_D_rate_qwen25_completion_v3,metric_icl_E_qwen25_completion_v3_std,metric_icl_E_rate_qwen25_completion_v3_std,metric_icl_C_qwen25_completion_v3_std,metric_icl_D_qwen25_completion_v3_std,metric_icl_D_rate_qwen25_completion_v3_std
test.sa-sb.sa-b::00879,test.sa-sb.sa-b::00879__row0,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,1.0,content_diversity,Rover became a part of the family.,Rover showed his affection by cuddling with them.,Sandra felt relieved that Rover was accepted so easily.,Rover wagged his tail all night.,The dog was more than happy to play all night.,-0.029,0.959,-0.283,-0.798,-0.460,7.167812,0.088998,0.613182,4.395174,0.054572,46.723016,0.526482,0.000000,28.649716,0.322829
test.sa-sb.sa-b::00879,test.sa-sb.sa-b::00879__row1,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,0.0,content_diversity,Rover was now family.,Rover fit in with Sandra's family.,Rover was a missing piece of Sandra's family.,Sandra and her family welcomed Rover into the fold.,Adopting Rover made Sandra and her family very pleased.,-0.096,0.871,-0.326,-0.960,-0.728,8.065469,0.211243,0.515762,4.159859,0.108951,41.247983,1.153307,0.000000,21.274125,0.594831
test.sa-sb.sa-b::00887,test.sa-sb.sa-b::00887__row2,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too,-0.083,0.883,-0.278,-0.685,-0.277,17.622813,0.812978,0.420716,7.414202,0.342033,27.990822,0.996604,0.000000,11.776191,0.419287
test.sa-sb.sa-b::00887,test.sa-sb.sa-b::00887__row3,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",0.0,content_diversity,he recovers quickly,his recovery was on time,he was fully recovered by then,he was recuperated on time,his ankles heals on time,-0.072,0.893,-0.400,-0.790,-0.711,30.076250,1.158248,0.332309,9.994612,0.384896,20.032688,0.771772,0.000000,6.657045,0.256467
test.sa-sb.sa-b::00817,test.sa-sb.sa-b::00817__row4,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,1.0,content_diversity,he was glad to speak to someone in english,he get to his room and rest,they decide tour the city together,they talk,they became friends,-0.025,0.963,-0.133,-0.625,-0.258,22.606797,0.942739,0.411418,9.300850,0.387860,61.746125,1.256525,0.000000,25.403486,0.516957
test.sa-sb.sa-b::00817,test.sa-sb.sa-b::00817__row5,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends,-0.094,0.907,-0.404,-0.950,-0.803,29.692578,0.854608,0.439209,13.041241,0.375352,41.352321,0.494241,0.000000,18.162303,0.217075
test.sa-sb.sa-b::00818,test.sa-sb.sa-b::00818__row6,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",1.0,content_diversity,The minivan was rolling down the hill,The minivan crashed into a new car,He had to run and try to catch it,Minivan caused a lot of damage,Minivan almost hurt a child on a bike,-0.025,0.956,-0.290,-0.761,-0.271,7.036719,0.311460,0.560314,3.942772,0.174515,47.360219,1.196496,0.000000,26.536591,0.670413
test.sa-sb.sa-b::00818,test.sa-sb.sa-b::00818__row7,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car,-0.080,0.895,-0.464,-0.980,-0.752,38.449063,1.035278,0.417867,16.066592,0.432609,38.174461,0.763236,0.000000,15.951845,0.318931
test.sa-sb.sa-b::00807,test.sa-sb.sa-b::00807__row8,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,-0.057,0.923,-0.346,-0.815,-0.404,1.643906,0.022057,0.604767,0.994181,0.013339,42.861800,0.496477,0.000000,25.921422,0.300253
test.sa-sb.sa-b::00807,test.sa-sb.sa-b::00807__row9,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,0.0,content_diversity,The primer helped keep the paint in tact.,The primer was a great idea.,The paint did not peel this time.,The paint was long lasting after the primer was used.,Primer kept the paint on.,-0.064,0.908,-0.385,-0.903,-0.538,-0.213594,-0.192077,0.634013,-0.135421,-0.121779,15.767588,0.928449,0.000000,9.996863,0.588649
