sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v3,metric_icl_E_rate_qwen25_completion_v3,metric_icl_C_qwen25_completion_v3,metric_icl_D_qwen25_completion_v3,metric_icl_D_rate_qwen25_completion_v3,metric_icl_E_qwen25_completion_v3_std,metric_icl_E_rate_qwen25_completion_v3_std,metric_icl_C_qwen25_completion_v3_std,metric_icl_D_qwen25_completion_v3_std,metric_icl_D_rate_qwen25_completion_v3_std
test.enc.prompt.txt::01240,test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,-0.656,-0.477,-4.360391,-0.112766,0.468489,-2.042794,-0.052830,39.297967,0.812926,0.000000,18.410655,0.380847
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241__row1,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,-0.736,-0.317,0.660156,-0.008246,0.402467,0.265691,-0.003319,27.495304,0.889711,0.000000,11.065952,0.358079
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241__row2,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,-0.887,-0.594,22.976719,1.700345,0.325150,7.470886,0.552868,14.998316,1.701100,0.000000,4.876707,0.553113
test.enc.prompt.txt::01244,test.enc.prompt.txt::01244__row3,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,-0.658,-0.342,-9.931641,-0.918002,0.523430,-5.198516,-0.480509,32.683578,2.120018,0.000000,17.107555,1.109680
test.enc.prompt.txt::01244,test.enc.prompt.txt::01244__row4,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,-0.739,-0.595,4.480000,0.239356,0.406614,1.821632,0.097326,24.948274,1.184962,0.000000,10.144322,0.481822
test.enc.prompt.txt::01245,test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,-0.775,-0.589,23.515938,1.344078,0.273689,6.436063,0.367860,15.585372,0.338108,0.000000,4.265551,0.092537
test.enc.prompt.txt::01246,test.enc.prompt.txt::01246__row6,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming,-0.008,0.582,-0.191,-0.646,-0.349,7.078437,0.280029,0.522868,3.701087,0.146418,16.295974,0.832343,0.000000,8.520640,0.435206
test.enc.prompt.txt::01246,test.enc.prompt.txt::01246__row7,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,-0.058,0.943,-0.117,-0.866,-0.412,27.025000,1.493844,0.283284,7.655744,0.423182,67.813727,1.315654,0.000000,19.210529,0.372703
test.enc.prompt.txt::01247,test.enc.prompt.txt::01247__row8,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job,-0.012,0.775,-0.072,-0.631,-0.093,14.230937,0.994307,0.290572,4.135112,0.288918,43.351431,2.423062,0.000000,12.596713,0.704074
test.enc.prompt.txt::01247,test.enc.prompt.txt::01247__row9,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,-0.017,0.958,-0.121,-0.742,-0.421,22.751875,0.838580,0.412694,9.389560,0.346077,40.849615,1.216738,0.000000,16.858388,0.502141
