sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.enc.prompt.txt::01240,test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,-0.656,-0.477,-9.559275,-0.374842,0.460949,-4.406340,-0.172783,39.291380,0.627434,0.000000,18.111331,0.289215
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241__row1,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,-0.736,-0.317,0.739992,-0.115318,0.342093,0.253146,-0.039450,18.695947,0.862364,0.000000,6.395757,0.295009
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241__row2,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,-0.887,-0.594,19.930458,1.464092,0.283318,5.646654,0.414803,14.069556,1.896736,0.000000,3.986156,0.537379
test.enc.prompt.txt::01244,test.enc.prompt.txt::01244__row3,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,-0.658,-0.342,-9.659789,-1.039169,0.478184,-4.619156,-0.496914,24.289000,2.501068,0.000000,11.614610,1.195971
test.enc.prompt.txt::01244,test.enc.prompt.txt::01244__row4,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,-0.739,-0.595,0.220098,0.086740,0.386756,0.085124,0.033547,41.354806,1.803000,0.000000,15.994228,0.697321
test.enc.prompt.txt::01245,test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,-0.775,-0.589,23.325969,1.317025,0.309176,7.211829,0.407193,12.813474,0.379048,0.000000,3.961618,0.117193
test.enc.prompt.txt::01246,test.enc.prompt.txt::01246__row6,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming,-0.008,0.582,-0.191,-0.646,-0.349,7.589173,0.262557,0.492337,3.736430,0.129267,16.857224,1.105835,0.000000,8.299435,0.544443
test.enc.prompt.txt::01246,test.enc.prompt.txt::01246__row7,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,-0.058,0.943,-0.117,-0.866,-0.412,30.233135,1.695996,0.283217,8.562535,0.480335,69.659132,1.552507,0.000000,19.728645,0.439696
test.enc.prompt.txt::01247,test.enc.prompt.txt::01247__row8,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job,-0.012,0.775,-0.072,-0.631,-0.093,14.434320,0.994668,0.282757,4.081398,0.281249,52.586995,3.076361,0.000000,14.869317,0.869861
test.enc.prompt.txt::01247,test.enc.prompt.txt::01247__row9,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,-0.017,0.958,-0.121,-0.742,-0.421,24.581155,0.891523,0.412849,10.148294,0.368064,53.024631,1.479576,0.000000,21.891142,0.610841
