sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v2,metric_icl_E_rate_qwen25_completion_v2,metric_icl_C_qwen25_completion_v2,metric_icl_D_qwen25_completion_v2,metric_icl_D_rate_qwen25_completion_v2,metric_icl_E_qwen25_completion_v2_std,metric_icl_E_rate_qwen25_completion_v2_std,metric_icl_C_qwen25_completion_v2_std,metric_icl_D_qwen25_completion_v2_std,metric_icl_D_rate_qwen25_completion_v2_std
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too,-0.083,0.883,-0.278,-0.685,-0.277,17.622813,0.812978,0.420716,7.414202,0.342033,27.990822,0.996604,0.000000,11.776191,0.419287
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends,-0.094,0.907,-0.404,-0.950,-0.803,29.692578,0.854608,0.439209,13.041241,0.375352,41.352321,0.494241,0.000000,18.162303,0.217075
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car,-0.080,0.895,-0.464,-0.980,-0.752,38.449063,1.035278,0.417867,16.066592,0.432609,38.174461,0.763236,0.000000,15.951845,0.318931
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,-0.057,0.923,-0.346,-0.815,-0.404,1.643906,0.022057,0.604767,0.994181,0.013339,42.861800,0.496477,0.000000,25.921422,0.300253
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady,-0.089,0.879,-0.440,-0.675,-0.474,35.000312,1.230215,0.418205,14.637304,0.514482,32.104368,0.711529,0.000000,13.426205,0.297565
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.,-0.077,0.900,-0.415,-0.867,-0.432,18.526875,0.047481,0.594015,11.005246,0.028205,40.071541,1.214412,0.000000,23.803106,0.721379
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!,-0.047,0.931,-0.291,-0.744,-0.256,23.884063,0.598332,0.399292,9.536717,0.238909,64.470508,0.775267,0.000000,25.742563,0.309558
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility,-0.040,0.928,-0.310,-0.643,-0.434,6.724453,0.517443,0.425591,2.861868,0.220219,42.550130,1.215155,0.000000,18.108963,0.517159
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini,-0.099,0.886,-0.351,-0.775,-0.390,13.038828,0.793295,0.391375,5.103069,0.310476,72.792703,1.186777,0.000000,28.489231,0.464475
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,-0.057,0.904,-0.375,-0.845,-0.777,33.934219,1.211480,0.333834,11.328400,0.404433,43.808183,1.214609,0.000000,14.624666,0.405478
