sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_gpt2,metric_icl_E_rate_gpt2,metric_icl_C_gpt2,metric_icl_D_gpt2,metric_icl_D_rate_gpt2,metric_icl_E_gpt2_std,metric_icl_E_rate_gpt2_std,metric_icl_C_gpt2_std,metric_icl_D_gpt2_std,metric_icl_D_rate_gpt2_std
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,-0.656,-0.477,5.430799,0.306728,0.569379,3.092180,0.174644,39.008941,0.920724,0.000000,22.210856,0.524241
test.enc.prompt.txt::01241,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,-0.736,-0.317,10.672544,0.471170,0.501691,5.354323,0.236382,22.496588,0.761532,0.000000,11.286343,0.382054
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,-0.887,-0.594,10.672544,0.471170,0.501691,5.354323,0.236382,22.496588,0.761532,0.000000,11.286343,0.382054
test.enc.prompt.txt::01244,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,-0.658,-0.342,1.515929,-0.035852,0.458556,0.695138,-0.016440,29.305097,2.213111,0.000000,13.438022,1.014835
test.enc.prompt.txt::01244,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,-0.739,-0.595,1.515929,-0.035852,0.458556,0.695138,-0.016440,29.305097,2.213111,0.000000,13.438022,1.014835
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,-0.775,-0.589,7.825201,0.564457,0.481872,3.770745,0.271996,23.342839,0.804477,0.000000,11.248259,0.387655
test.enc.prompt.txt::01246,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming,-0.008,0.582,-0.191,-0.646,-0.349,7.313864,0.521058,0.614379,4.493485,0.320127,28.875029,2.356781,0.000000,17.740213,1.447957
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,-0.058,0.943,-0.117,-0.866,-0.412,7.313864,0.521058,0.614379,4.493485,0.320127,28.875029,2.356781,0.000000,17.740213,1.447957
test.enc.prompt.txt::01247,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job,-0.012,0.775,-0.072,-0.631,-0.093,4.552434,0.293038,0.397697,1.810489,0.116540,55.874565,3.454282,0.000000,22.221149,1.373758
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,-0.017,0.958,-0.121,-0.742,-0.421,4.552434,0.293038,0.397697,1.810489,0.116540,55.874565,3.454282,0.000000,22.221149,1.373758
test.enc.prompt.txt::01248,I'd like you,0.0,content_diversity,to introduce you to my parents,to come and meet my parents,to finally meet with my parents,to meet my mom and dad,to introduce you my mom and dad,-0.166,0.775,-0.470,-0.914,-0.780,28.178160,1.055789,0.467297,13.167557,0.493366,23.497970,0.594128,0.000000,10.980520,0.277634
test.enc.prompt.txt::01249,Nothing. She wanted,1.0,content_diversity,to know directions to the drive through is all.,money but I gave her nothing.,it all just to go away so that she was free again.,to know if I knew someone and I didn't.,to arrest me but couldnt pin anything on me.,-0.029,0.951,-0.133,-0.638,-0.150,0.930813,0.011455,0.400935,0.373196,0.004593,84.353485,1.232984,0.000000,33.820306,0.494347
test.enc.prompt.txt::01250,Are you for,1.0,content_diversity,a dance,a date in a restaurant,democrats or republicans,a coffee after desert,this new movie,-0.025,0.965,-0.047,-0.571,-0.096,9.438004,0.293806,0.369489,3.487237,0.108558,44.146979,1.663339,0.000000,16.311816,0.614585
test.enc.prompt.txt::01250,Are you for,0.0,content_diversity,a nice dinner in a restaurant,dinner in a fancy restaurant,a date somewhere nice,a date with me in a fancy dinner,a dinner in a classy restaurant,-0.188,0.786,-0.489,-0.882,-0.729,9.438004,0.293806,0.369489,3.487237,0.108558,44.146979,1.663339,0.000000,16.311816,0.614585
test.enc.prompt.txt::01251,It's a good,1.0,content_diversity,day to go shopping.,day to plan a wedding.,day to get some chores done.,time to invest in the stock market.,time to get some work done.,-0.094,0.874,-0.445,-0.737,-0.329,25.834254,1.029575,0.435723,11.256569,0.448609,24.934918,0.716191,0.000000,10.864708,0.312061
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,-0.009,0.974,-0.105,-0.601,-0.125,-12.967300,-0.087361,0.427836,-5.547882,-0.037376,120.006093,1.750675,0.000000,51.342968,0.749002
test.enc.prompt.txt::01252,It seems your,0.0,content_diversity,sweet little kitten adores getting attention!,"cat is begging for attention, so have you been giving her any?",cat is very sociable and friendly around other people!,"kitty is extremely affectionate, what a sweetheart!",time spent with your cat isn’t enough because she is starved for attention.,-0.021,0.970,-0.252,-0.840,-0.458,-12.967300,-0.087361,0.427836,-5.547882,-0.037376,120.006093,1.750675,0.000000,51.342968,0.749002
test.enc.prompt.txt::01253,I wouldn't accept,1.0,content_diversity,anything but the truth,not loving you anymore,money from her,you leaving,mediocreness,-0.007,0.786,0.028,-0.564,-0.275,-3.809245,-0.454705,0.397240,-1.513186,-0.180627,32.984088,3.575793,0.000000,13.102610,1.420449
test.enc.prompt.txt::01254,In a magazine,1.0,content_diversity,so many pages,theres lots of advertisements,i saw there was a model who was pretty,there was a car,that was boring,-0.038,0.919,-0.183,-0.636,-0.191,23.213924,0.570921,0.438644,10.182643,0.250431,53.741812,0.613991,0.000000,23.573511,0.269324
test.enc.prompt.txt::01255,I don't know...,1.0,content_diversity,why this happens,think so,know anyone who can,what time it is,where it went,-0.006,0.787,-0.137,-0.629,-0.350,5.759679,0.268715,0.503382,2.899318,0.135266,14.616796,0.618353,0.000000,7.357830,0.311268
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,-0.027,0.547,-0.154,-0.637,-0.249,5.320133,0.311286,0.412647,2.195339,0.128451,21.824642,2.084248,0.000000,9.005879,0.860059
