sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion,metric_icl_E_rate_qwen25_completion,metric_icl_C_qwen25_completion,metric_icl_D_qwen25_completion,metric_icl_D_rate_qwen25_completion,metric_icl_E_qwen25_completion_std,metric_icl_E_rate_qwen25_completion_std,metric_icl_C_qwen25_completion_std,metric_icl_D_qwen25_completion_std,metric_icl_D_rate_qwen25_completion_std
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,4.389,0.393,-0.015,0.967,-0.319,-0.656,-0.477,8.252578,0.621375,0.304930,2.516456,0.189476,44.332066,0.758518,0.000000,13.518165,0.231295
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,1.833,0.471,-0.185,0.667,-0.496,-0.887,-0.594,37.637422,2.512679,0.207819,7.821768,0.522182,15.562544,2.198827,0.000000,3.234191,0.456958
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,2.444,0.685,-0.067,0.733,-0.354,-0.775,-0.589,43.197969,2.367309,0.171408,7.404457,0.405775,16.390035,0.526991,0.000000,2.809375,0.090330
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,2.111,0.737,-0.058,0.943,-0.117,-0.866,-0.412,37.977188,2.062914,0.207789,7.891232,0.428650,62.888243,1.203573,0.000000,13.067470,0.250089
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,3.056,0.831,-0.017,0.958,-0.121,-0.742,-0.421,38.828750,1.392212,0.311730,12.104083,0.433994,37.286887,1.246617,0.000000,11.623438,0.388608
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,4.778,0.416,-0.009,0.974,-0.105,-0.601,-0.125,19.591562,0.588371,0.359710,7.047287,0.211643,64.876658,1.585844,0.000000,23.336801,0.570444
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,3.667,0.408,-0.027,0.547,-0.154,-0.637,-0.249,21.394531,1.641158,0.148834,3.184243,0.244261,28.144988,2.010292,0.000000,4.188944,0.299201
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,4.611,0.458,-0.089,0.885,-0.266,-0.667,-0.282,30.128750,1.201274,0.290346,8.747756,0.348785,21.404301,0.551815,0.000000,6.214649,0.160217
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,2.000,0.645,-0.147,0.774,-0.476,-0.934,-0.636,46.977500,1.092585,0.452685,21.266033,0.494597,16.952175,0.379649,0.000000,7.674004,0.171862
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",3.889,0.393,0.000,1.000,-0.242,-0.670,-0.221,13.741875,2.102512,0.109757,1.508271,0.230766,54.404858,2.153482,0.000000,5.971328,0.236360
