sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion,metric_icl_E_rate_qwen25_completion,metric_icl_C_qwen25_completion,metric_icl_D_qwen25_completion,metric_icl_D_rate_qwen25_completion,metric_icl_E_qwen25_completion_std,metric_icl_E_rate_qwen25_completion_std,metric_icl_C_qwen25_completion_std,metric_icl_D_qwen25_completion_std,metric_icl_D_rate_qwen25_completion_std
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too,-0.083,0.883,-0.278,-0.685,-0.277,4.994160,0.288964,0.603131,3.012135,0.174283,27.370180,0.985435,0.000000,16.507817,0.594347
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends,-0.094,0.907,-0.404,-0.950,-0.803,16.933828,0.449903,0.566164,9.587327,0.254719,40.352201,0.480695,0.000000,22.845970,0.272152
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car,-0.080,0.895,-0.464,-0.980,-0.752,23.704297,0.641419,0.519159,12.306289,0.332998,43.895800,0.940631,0.000000,22.788881,0.488337
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,-0.057,0.923,-0.346,-0.815,-0.404,0.588594,-0.007273,0.631798,0.371872,-0.004595,41.663967,0.464754,0.000000,26.323191,0.293631
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady,-0.089,0.879,-0.440,-0.675,-0.474,19.275000,0.638572,0.620545,11.961000,0.396263,34.817340,0.816222,0.000000,21.605717,0.506502
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.,-0.077,0.900,-0.415,-0.867,-0.432,17.115938,0.006739,0.605690,10.366955,0.004082,40.159489,1.262729,0.000000,24.324208,0.764823
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!,-0.047,0.931,-0.291,-0.744,-0.256,21.787344,0.584420,0.440921,9.606501,0.257683,79.169974,0.880170,0.000000,34.907717,0.388086
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility,-0.040,0.928,-0.310,-0.643,-0.434,-2.974844,0.077431,0.558474,-1.661373,0.043243,39.658961,1.119650,0.000000,22.148503,0.625296
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini,-0.099,0.886,-0.351,-0.775,-0.390,-0.607578,0.301318,0.532236,-0.323375,0.160372,72.066937,1.206646,0.000000,38.356585,0.642220
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,-0.057,0.904,-0.375,-0.845,-0.777,22.409688,0.827545,0.429265,9.619705,0.355236,49.724691,1.418467,0.000000,21.345093,0.608899
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,0.0,content_diversity,"Tim became so anxious with the crowd watching him, he failed to get a perfect score.",Tim did not manage to get a perfect score.,Tim lost the game due to the pressure of having an audience.,Tim choked and lost.,Tim cracked under pressure.,-0.067,0.879,-0.408,-0.894,-0.603,20.308906,0.322694,0.514053,10.439862,0.165882,60.539674,1.411911,0.000000,31.120624,0.725798
