sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.sa-sb.sa-b::00807,test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,4.056,0.437,-0.057,0.923,-0.346,-0.815,-0.404,0.958446,-0.026218,0.621585,0.595756,-0.016296,37.534786,0.348798,0.000000,23.331068,0.216808
test.sa-sb.sa-b::00803,test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,2.222,0.711,-0.057,0.904,-0.375,-0.845,-0.777,36.195816,1.267122,0.371395,13.442959,0.470603,39.775352,1.212634,0.000000,14.772382,0.450367
test.sa-sb.sa-b::00793,test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad,4.333,0.527,-0.023,0.969,-0.191,-0.822,-0.379,31.160962,0.612817,0.421624,13.138198,0.258378,68.199358,0.924235,0.000000,28.754461,0.389679
test.sa-sb.sa-b::00813,test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,1.0,content_diversity,he was then killed,he was then put into prison,the war ended,it was gruesome,that was part of war,3.667,0.471,-0.059,0.900,-0.273,-0.689,-0.218,15.544781,1.079802,0.332280,5.165221,0.358797,37.737441,2.111520,0.000000,12.539399,0.701616
test.sa-sb.sa-b::00876,test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",0.0,content_diversity,we also cook,we decided to use the kitchen,we prepare some meals,we use our cooking skills,we make some dishes,2.062,0.464,-0.056,0.945,-0.376,-0.941,-0.672,35.467575,1.537958,0.292270,10.366119,0.449499,23.047742,1.216787,0.000000,6.736171,0.355631
test.sa-sb.sa-b::00825,test.sa-sb.sa-b::00825,It any business you have to keep track of your resources. I was helping a friend inventory his business. He could name every part number in his inventory from memory. I asked him to give me a list of his employees.,1.0,content_diversity,He had a hard time recollecting.,He new every name and their birthdays.,He could not name them without looking at his files.,He named them all off the top of his head.,He could not remember the names of his employees.,3.167,0.527,-0.053,0.920,-0.315,-0.762,-0.246,12.963385,0.277358,0.654028,8.478418,0.181400,42.498464,1.394629,0.000000,27.795190,0.912127
test.sa-sb.sa-b::00830,test.sa-sb.sa-b::00830__row6,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,1.0,content_diversity,He called all his friends to tell them.,He was so happy he cried.,He realized he didn't really like acting very much so he quit.,His family was so proud they threw him a party.,His friend was jealous and they drifted apart.,4.562,0.464,-0.033,0.949,-0.280,-0.707,-0.263,-1.094777,-0.128851,0.602757,-0.659884,-0.077666,39.647259,0.495745,0.000000,23.897657,0.298814
test.sa-sb.sa-b::00830,test.sa-sb.sa-b::00830__row7,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,0.0,content_diversity,He went home and told everyone he knew.,He was so excited that he called a ton of people to tell them.,He had to let everyone know asap.,Ben was super excited to share the news.,Ben had a great evening letting everyone know.,1.778,0.416,-0.040,0.937,-0.385,-0.799,-0.571,1.910374,0.175611,0.522967,0.999062,0.091839,31.818019,0.683357,0.000000,16.639760,0.357373
test.sa-sb.sa-b::00792,test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,We looked forward to the rest of the series.,This series would be discontinued.,The book was a fun way for us to connect.,I performed the characters using different voices to entertain her.,This would become her favorite book.,4.278,0.583,-0.025,0.955,-0.301,-0.699,-0.233,26.370182,0.550137,0.529823,13.971528,0.291475,62.643902,0.863698,0.000000,33.190178,0.457607
test.sa-sb.sa-b::00799,test.sa-sb.sa-b::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,1.0,content_diversity,she said thank you,we continue practicing,she decided we should get ice cream,we had lots of fun,she teach me some foreign language too,4.111,0.657,-0.023,0.969,-0.172,-0.646,-0.164,21.100292,1.057588,0.360219,7.600721,0.380963,49.148666,0.735763,0.000000,17.704272,0.265036
