sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion,metric_icl_E_rate_qwen25_completion,metric_icl_C_qwen25_completion,metric_icl_D_qwen25_completion,metric_icl_D_rate_qwen25_completion,metric_icl_E_qwen25_completion_std,metric_icl_E_rate_qwen25_completion_std,metric_icl_C_qwen25_completion_std,metric_icl_D_qwen25_completion_std,metric_icl_D_rate_qwen25_completion_std
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,-0.656,-0.477,8.252578,0.621375,0.304930,2.516456,0.189476,44.332066,0.758518,0.000000,13.518165,0.231295
test.enc.prompt.txt::01241,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,-0.736,-0.317,19.830156,0.990981,0.248328,4.924387,0.246089,20.491951,0.839346,0.000000,5.088729,0.208433
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,-0.887,-0.594,37.637422,2.512679,0.207819,7.821768,0.522182,15.562544,2.198827,0.000000,3.234191,0.456958
test.enc.prompt.txt::01244,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,-0.658,-0.342,7.330469,0.269360,0.243970,1.788416,0.065716,30.922182,3.084851,0.000000,7.544091,0.752612
test.enc.prompt.txt::01244,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,-0.739,-0.595,16.647187,0.748384,0.289315,4.816280,0.216519,24.495661,1.210155,0.000000,7.086960,0.350116
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,-0.775,-0.589,43.197969,2.367309,0.171408,7.404457,0.405775,16.390035,0.526991,0.000000,2.809375,0.090330
test.enc.prompt.txt::01246,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming,-0.008,0.582,-0.191,-0.646,-0.349,19.022109,1.185819,0.232698,4.426398,0.275937,24.425871,1.199362,0.000000,5.683840,0.279089
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,-0.058,0.943,-0.117,-0.866,-0.412,37.977188,2.062914,0.207789,7.891232,0.428650,62.888243,1.203573,0.000000,13.067470,0.250089
test.enc.prompt.txt::01247,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job,-0.012,0.775,-0.072,-0.631,-0.093,26.265625,1.953317,0.150386,3.949990,0.293752,72.554381,4.417469,0.000000,10.911186,0.664327
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,-0.017,0.958,-0.121,-0.742,-0.421,38.828750,1.392212,0.311730,12.104083,0.433994,37.286887,1.246617,0.000000,11.623438,0.388608
test.enc.prompt.txt::01248,I'd like you,0.0,content_diversity,to introduce you to my parents,to come and meet my parents,to finally meet with my parents,to meet my mom and dad,to introduce you my mom and dad,-0.166,0.775,-0.470,-0.914,-0.780,26.815078,0.971335,0.448224,12.019149,0.435375,31.305492,0.933057,0.000000,14.031857,0.418218
test.enc.prompt.txt::01249,Nothing. She wanted,1.0,content_diversity,to know directions to the drive through is all.,money but I gave her nothing.,it all just to go away so that she was free again.,to know if I knew someone and I didn't.,to arrest me but couldnt pin anything on me.,-0.029,0.951,-0.133,-0.638,-0.150,12.670000,0.327039,0.360193,4.563642,0.117797,56.635015,0.610318,0.000000,20.399523,0.219832
test.enc.prompt.txt::01250,Are you for,1.0,content_diversity,a dance,a date in a restaurant,democrats or republicans,a coffee after desert,this new movie,-0.025,0.965,-0.047,-0.571,-0.096,20.806172,0.846944,0.292037,6.076175,0.247339,46.692052,1.255866,0.000000,13.635814,0.366760
