sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.enc.prompt.txt::01240,test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,4.389,0.393,-0.015,0.967,-0.319,-0.656,-0.477,-9.575288,-0.373936,0.460949,-4.413722,-0.172366,39.296136,0.633150,0.000000,18.113523,0.291850
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,1.833,0.471,-0.185,0.667,-0.496,-0.887,-0.594,19.845291,1.460686,0.284002,5.636096,0.414837,14.079027,1.891799,0.000000,3.998467,0.537274
test.enc.prompt.txt::01245,test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,2.444,0.685,-0.067,0.733,-0.354,-0.775,-0.589,23.331898,1.316312,0.309176,7.213662,0.406972,12.600757,0.374157,0.000000,3.895851,0.115680
test.enc.prompt.txt::01246,test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,2.111,0.737,-0.058,0.943,-0.117,-0.866,-0.412,30.212443,1.691601,0.283098,8.553074,0.478888,69.413895,1.546857,0.000000,19.650916,0.437912
test.enc.prompt.txt::01247,test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,3.056,0.831,-0.017,0.958,-0.121,-0.742,-0.421,24.501646,0.889381,0.412849,10.115469,0.367180,52.857871,1.473902,0.000000,21.822296,0.608498
test.enc.prompt.txt::01252,test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,4.778,0.416,-0.009,0.974,-0.105,-0.601,-0.125,6.194962,0.218394,0.476318,2.950769,0.104025,55.239406,1.196344,0.000000,26.311496,0.569840
test.enc.prompt.txt::01256,test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,3.667,0.408,-0.027,0.547,-0.154,-0.637,-0.249,7.823743,0.552588,0.286208,2.239218,0.158155,29.532841,2.424827,0.000000,8.452537,0.694005
test.enc.prompt.txt::01259,test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,4.611,0.458,-0.089,0.885,-0.266,-0.667,-0.282,12.080247,0.471019,0.521266,6.297019,0.245526,20.504828,0.539167,0.000000,10.688465,0.281050
test.enc.prompt.txt::01265,test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,2.000,0.645,-0.147,0.774,-0.476,-0.934,-0.636,26.956429,0.625382,0.559378,15.078832,0.349825,20.560685,0.454690,0.000000,11.501194,0.254344
test.enc.prompt.txt::01266,test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",3.889,0.393,0.000,1.000,-0.242,-0.670,-0.221,-3.054519,0.288481,0.324337,-0.990692,0.093565,38.949490,1.875088,0.000000,12.632743,0.608159
