sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_gpt2,metric_icl_E_rate_gpt2,metric_icl_C_gpt2,metric_icl_D_gpt2,metric_icl_D_rate_gpt2,metric_icl_E_gpt2_std,metric_icl_E_rate_gpt2_std,metric_icl_C_gpt2_std,metric_icl_D_gpt2_std,metric_icl_D_rate_gpt2_std
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,-0.656,-0.477,5.430799,0.306728,0.569379,3.092180,0.174644,39.008941,0.920724,0.000000,22.210856,0.524241
test.enc.prompt.txt::01240,Not if it,0.0,content_diversity,cannot be completed in a timely manner.,it takes too much time to complete.,takes too long to complete.,takes a while to complete.,it takes a long time to do it.,-0.098,0.862,-0.476,-0.908,-0.778,5.430799,0.306728,0.569379,3.092180,0.174644,39.008941,0.920724,0.000000,22.210856,0.524241
test.enc.prompt.txt::01241,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,-0.736,-0.317,10.672544,0.471170,0.501691,5.354323,0.236382,22.496588,0.761532,0.000000,11.286343,0.382054
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,-0.887,-0.594,10.672544,0.471170,0.501691,5.354323,0.236382,22.496588,0.761532,0.000000,11.286343,0.382054
test.enc.prompt.txt::01242,How long you,1.0,content_diversity,have you been waiting,do turtles live,think will take him to get here,have been without home,think it will be before we get our meal,-0.018,0.963,-0.096,-0.647,-0.232,-3.008256,0.117057,0.448126,-1.348079,0.052456,59.707817,1.619235,0.000000,26.756652,0.725622
test.enc.prompt.txt::01242,How long you,0.0,content_diversity,have been here,waited for me,stayed here,arrived before me,waited here alone,-0.036,0.543,-0.192,-0.753,-0.368,-3.008256,0.117057,0.448126,-1.348079,0.052456,59.707817,1.619235,0.000000,26.756652,0.725622
test.enc.prompt.txt::01243,"Hey, it's okay.",1.0,content_diversity,we can go later,its just fine,hows your day going?,i am okay,lets talk about something else,0.000,1.000,-0.055,-0.677,-0.311,4.166023,0.427114,0.467450,1.947408,0.199655,24.406406,1.760239,0.000000,11.408777,0.822824
test.enc.prompt.txt::01243,"Hey, it's okay.",0.0,content_diversity,its perfectly fine,oh its fine now,everything is okay,it is fine,i am all fine now,-0.056,0.918,-0.413,-0.827,-0.821,4.166023,0.427114,0.467450,1.947408,0.199655,24.406406,1.760239,0.000000,11.408777,0.822824
test.enc.prompt.txt::01244,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,-0.658,-0.342,1.515929,-0.035852,0.458556,0.695138,-0.016440,29.305097,2.213111,0.000000,13.438022,1.014835
test.enc.prompt.txt::01244,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,-0.739,-0.595,1.515929,-0.035852,0.458556,0.695138,-0.016440,29.305097,2.213111,0.000000,13.438022,1.014835
test.enc.prompt.txt::01245,During the road,1.0,content_diversity,"rage, people loose their minds",you should be focused only on road,you can't be phoning,you shouldn't sleep,"driving, you need to have a license",-0.029,0.969,-0.109,-0.630,-0.205,5.569056,0.535270,0.443241,2.468431,0.237253,32.569324,1.044743,0.000000,14.436046,0.463073
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,-0.775,-0.589,5.569056,0.535270,0.443241,2.468431,0.237253,32.569324,1.044743,0.000000,14.436046,0.463073
test.enc.prompt.txt::01246,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming,-0.008,0.582,-0.191,-0.646,-0.349,7.313864,0.521058,0.614379,4.493485,0.320127,28.875029,2.356781,0.000000,17.740213,1.447957
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,-0.058,0.943,-0.117,-0.866,-0.412,7.313864,0.521058,0.614379,4.493485,0.320127,28.875029,2.356781,0.000000,17.740213,1.447957
test.enc.prompt.txt::01247,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job,-0.012,0.775,-0.072,-0.631,-0.093,4.552434,0.293038,0.397697,1.810489,0.116540,55.874565,3.454282,0.000000,22.221149,1.373758
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,-0.017,0.958,-0.121,-0.742,-0.421,4.552434,0.293038,0.397697,1.810489,0.116540,55.874565,3.454282,0.000000,22.221149,1.373758
test.enc.prompt.txt::01248,I'd like you,1.0,content_diversity,to meet my parents,to send him my condolences,to improve your swimming technique,to start acting according to your age,to stop talking gibberish,-0.060,0.944,-0.236,-0.588,-0.124,10.506493,0.198878,0.478426,5.026585,0.095149,38.068676,0.700655,0.000000,18.213063,0.335212
test.enc.prompt.txt::01248,I'd like you,0.0,content_diversity,to introduce you to my parents,to come and meet my parents,to finally meet with my parents,to meet my mom and dad,to introduce you my mom and dad,-0.166,0.775,-0.470,-0.914,-0.780,10.506493,0.198878,0.478426,5.026585,0.095149,38.068676,0.700655,0.000000,18.213063,0.335212
test.enc.prompt.txt::01249,Nothing. She wanted,1.0,content_diversity,to know directions to the drive through is all.,money but I gave her nothing.,it all just to go away so that she was free again.,to know if I knew someone and I didn't.,to arrest me but couldnt pin anything on me.,-0.029,0.951,-0.133,-0.638,-0.150,0.930813,0.011455,0.400935,0.373196,0.004593,84.353485,1.232984,0.000000,33.820306,0.494347
test.enc.prompt.txt::01249,Nothing. She wanted,0.0,content_diversity,"to know how to get to the drive through,",a route to get to Macdonalds.,know directions on how to get to the drive through.,details on where the drive through is.,information on how to find a macdonalds.,-0.161,0.738,-0.448,-0.815,-0.546,0.930813,0.011455,0.400935,0.373196,0.004593,84.353485,1.232984,0.000000,33.820306,0.494347
test.enc.prompt.txt::01250,Are you for,1.0,content_diversity,a dance,a date in a restaurant,democrats or republicans,a coffee after desert,this new movie,-0.025,0.965,-0.047,-0.571,-0.096,9.438004,0.293806,0.369489,3.487237,0.108558,44.146979,1.663339,0.000000,16.311816,0.614585
test.enc.prompt.txt::01250,Are you for,0.0,content_diversity,a nice dinner in a restaurant,dinner in a fancy restaurant,a date somewhere nice,a date with me in a fancy dinner,a dinner in a classy restaurant,-0.188,0.786,-0.489,-0.882,-0.729,9.438004,0.293806,0.369489,3.487237,0.108558,44.146979,1.663339,0.000000,16.311816,0.614585
