sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.sa-sb.sa-b::00879,test.sa-sb.sa-b::00879__row0,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,1.0,content_diversity,Rover became a part of the family.,Rover showed his affection by cuddling with them.,Sandra felt relieved that Rover was accepted so easily.,Rover wagged his tail all night.,The dog was more than happy to play all night.,-0.029,0.959,-0.283,-0.798,-0.460,-3.241626,-0.127543,0.650768,-2.109546,-0.083001,56.565622,0.850644,0.000000,36.811088,0.553572
test.sa-sb.sa-b::00879,test.sa-sb.sa-b::00879__row1,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,0.0,content_diversity,Rover was now family.,Rover fit in with Sandra's family.,Rover was a missing piece of Sandra's family.,Sandra and her family welcomed Rover into the fold.,Adopting Rover made Sandra and her family very pleased.,-0.096,0.871,-0.326,-0.960,-0.728,-1.807488,0.011421,0.565954,-1.022955,0.006464,52.684795,0.970890,0.000000,29.817164,0.549479
test.sa-sb.sa-b::00887,test.sa-sb.sa-b::00887__row2,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too,-0.083,0.883,-0.278,-0.685,-0.277,20.230490,0.906648,0.437263,8.846052,0.396444,18.876915,0.856804,0.000000,8.254183,0.374649
test.sa-sb.sa-b::00887,test.sa-sb.sa-b::00887__row3,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",0.0,content_diversity,he recovers quickly,his recovery was on time,he was fully recovered by then,he was recuperated on time,his ankles heals on time,-0.072,0.893,-0.400,-0.790,-0.711,35.252316,1.375099,0.304636,10.739127,0.418905,20.031756,0.921412,0.000000,6.102395,0.280695
test.sa-sb.sa-b::00817,test.sa-sb.sa-b::00817__row4,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,1.0,content_diversity,he was glad to speak to someone in english,he get to his room and rest,they decide tour the city together,they talk,they became friends,-0.025,0.963,-0.133,-0.625,-0.258,23.525594,1.046290,0.426922,10.043603,0.446685,60.747084,1.161860,0.000000,25.934291,0.496024
test.sa-sb.sa-b::00817,test.sa-sb.sa-b::00817__row5,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends,-0.094,0.907,-0.404,-0.950,-0.803,34.237435,0.974273,0.434321,14.870028,0.423147,38.557612,0.607400,0.000000,16.746370,0.263806
test.sa-sb.sa-b::00818,test.sa-sb.sa-b::00818__row6,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",1.0,content_diversity,The minivan was rolling down the hill,The minivan crashed into a new car,He had to run and try to catch it,Minivan caused a lot of damage,Minivan almost hurt a child on a bike,-0.025,0.956,-0.290,-0.761,-0.271,8.962505,0.348805,0.564231,5.056919,0.196806,32.773224,0.783837,0.000000,18.491655,0.442265
test.sa-sb.sa-b::00818,test.sa-sb.sa-b::00818__row7,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car,-0.080,0.895,-0.464,-0.980,-0.752,37.749647,1.000396,0.422930,15.965465,0.423098,38.001249,0.786321,0.000000,16.071875,0.332559
test.sa-sb.sa-b::00807,test.sa-sb.sa-b::00807__row8,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,-0.057,0.923,-0.346,-0.815,-0.404,0.958446,-0.026218,0.621585,0.595756,-0.016296,37.534786,0.348798,0.000000,23.331068,0.216808
test.sa-sb.sa-b::00807,test.sa-sb.sa-b::00807__row9,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,0.0,content_diversity,The primer helped keep the paint in tact.,The primer was a great idea.,The paint did not peel this time.,The paint was long lasting after the primer was used.,Primer kept the paint on.,-0.064,0.908,-0.385,-0.903,-0.538,2.461483,-0.023742,0.623470,1.534660,-0.014802,27.656943,0.473633,0.000000,17.243268,0.295296
