sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen3_30b_a3b,metric_icl_E_rate_qwen3_30b_a3b,metric_icl_C_qwen3_30b_a3b,metric_icl_D_qwen3_30b_a3b,metric_icl_D_rate_qwen3_30b_a3b,metric_icl_E_qwen3_30b_a3b_std,metric_icl_E_rate_qwen3_30b_a3b_std,metric_icl_C_qwen3_30b_a3b_std,metric_icl_D_qwen3_30b_a3b_std,metric_icl_D_rate_qwen3_30b_a3b_std
test.sa-sb.sa-b::00887,test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too,-0.083,0.883,-0.278,-0.685,-0.277,20.230490,0.906648,0.437263,8.846052,0.396444,18.876915,0.856804,0.000000,8.254183,0.374649
test.sa-sb.sa-b::00817,test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends,-0.094,0.907,-0.404,-0.950,-0.803,34.237435,0.974273,0.434321,14.870028,0.423147,38.557612,0.607400,0.000000,16.746370,0.263806
test.sa-sb.sa-b::00818,test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car,-0.080,0.895,-0.464,-0.980,-0.752,37.749647,1.000396,0.422930,15.965465,0.423098,38.001249,0.786321,0.000000,16.071875,0.332559
test.sa-sb.sa-b::00807,test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,-0.057,0.923,-0.346,-0.815,-0.404,0.958446,-0.026218,0.621585,0.595756,-0.016296,37.534786,0.348798,0.000000,23.331068,0.216808
test.sa-sb.sa-b::00869,test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady,-0.089,0.879,-0.440,-0.675,-0.474,34.260873,1.194252,0.430818,14.760195,0.514505,26.595029,0.578020,0.000000,11.457613,0.249021
test.sa-sb.sa-b::00868,test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.,-0.077,0.900,-0.415,-0.867,-0.432,19.997946,0.095082,0.613399,12.266712,0.058323,43.207002,1.020501,0.000000,26.503115,0.625974
test.sa-sb.sa-b::00790,test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!,-0.047,0.931,-0.291,-0.744,-0.256,19.642698,0.601451,0.429992,8.446196,0.258619,65.396436,0.781144,0.000000,28.119921,0.335885
test.sa-sb.sa-b::00800,test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility,-0.040,0.928,-0.310,-0.643,-0.434,6.550108,0.523757,0.459252,3.008148,0.240536,33.427167,1.424439,0.000000,15.351480,0.654176
test.sa-sb.sa-b::00803,test.sa-sb.sa-b::00803__row8,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini,-0.099,0.886,-0.351,-0.775,-0.390,13.143902,0.778600,0.422725,5.556251,0.329133,62.533987,1.009078,0.000000,26.434655,0.426562
test.sa-sb.sa-b::00803,test.sa-sb.sa-b::00803__row9,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,-0.057,0.904,-0.375,-0.845,-0.777,36.195816,1.267122,0.371395,13.442959,0.470603,39.775352,1.212634,0.000000,14.772382,0.450367
