sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v2,metric_icl_E_rate_qwen25_completion_v2,metric_icl_C_qwen25_completion_v2,metric_icl_D_qwen25_completion_v2,metric_icl_D_rate_qwen25_completion_v2,metric_icl_E_qwen25_completion_v2_std,metric_icl_E_rate_qwen25_completion_v2_std,metric_icl_C_qwen25_completion_v2_std,metric_icl_D_qwen25_completion_v2_std,metric_icl_D_rate_qwen25_completion_v2_std
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,4.056,0.437,-0.057,0.923,-0.346,-0.815,-0.404,1.643906,0.022057,0.604767,0.994181,0.013339,42.861800,0.496477,0.000000,25.921422,0.300253
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less,2.222,0.711,-0.057,0.904,-0.375,-0.845,-0.777,33.934219,1.211480,0.333834,11.328400,0.404433,43.808183,1.214609,0.000000,14.624666,0.405478
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad,4.333,0.527,-0.023,0.969,-0.191,-0.822,-0.379,33.373437,0.622392,0.440468,14.699924,0.274144,78.375276,1.097191,0.000000,34.521785,0.483277
test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,1.0,content_diversity,he was then killed,he was then put into prison,the war ended,it was gruesome,that was part of war,3.667,0.471,-0.059,0.900,-0.273,-0.689,-0.218,11.953438,0.882746,0.353365,4.223931,0.311932,39.060271,2.242539,0.000000,13.802547,0.792436
test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",0.0,content_diversity,we also cook,we decided to use the kitchen,we prepare some meals,we use our cooking skills,we make some dishes,2.062,0.464,-0.056,0.945,-0.376,-0.941,-0.672,33.955313,1.494115,0.268278,9.109458,0.400838,25.238254,1.324087,0.000000,6.770864,0.355223
test.sa-sb.sa-b::00825,It any business you have to keep track of your resources. I was helping a friend inventory his business. He could name every part number in his inventory from memory. I asked him to give me a list of his employees.,1.0,content_diversity,He had a hard time recollecting.,He new every name and their birthdays.,He could not name them without looking at his files.,He named them all off the top of his head.,He could not remember the names of his employees.,3.167,0.527,-0.053,0.920,-0.315,-0.762,-0.246,9.181719,0.184492,0.639946,5.875807,0.118065,53.858653,1.661152,0.000000,34.466648,1.063048
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,1.0,content_diversity,He called all his friends to tell them.,He was so happy he cried.,He realized he didn't really like acting very much so he quit.,His family was so proud they threw him a party.,His friend was jealous and they drifted apart.,4.562,0.464,-0.033,0.949,-0.280,-0.707,-0.263,9.371406,0.147902,0.571054,5.351577,0.084460,52.148550,0.737553,0.000000,29.779625,0.421182
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,0.0,content_diversity,He went home and told everyone he knew.,He was so excited that he called a ton of people to tell them.,He had to let everyone know asap.,Ben was super excited to share the news.,Ben had a great evening letting everyone know.,1.778,0.416,-0.040,0.937,-0.385,-0.799,-0.571,15.347500,0.471978,0.502856,7.717576,0.237337,36.593308,0.730296,0.000000,18.401150,0.367234
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,We looked forward to the rest of the series.,This series would be discontinued.,The book was a fun way for us to connect.,I performed the characters using different voices to entertain her.,This would become her favorite book.,4.278,0.583,-0.025,0.955,-0.301,-0.699,-0.233,23.468750,0.488623,0.509991,11.968855,0.249193,64.329047,0.732355,0.000000,32.807246,0.373494
test.sa-sb.sa-b::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,1.0,content_diversity,she said thank you,we continue practicing,she decided we should get ice cream,we had lots of fun,she teach me some foreign language too,4.111,0.657,-0.023,0.969,-0.172,-0.646,-0.164,19.935000,0.997426,0.360275,7.182079,0.359347,52.700359,0.557709,0.000000,18.986614,0.200928
test.sa-sb.sa-b::00861,"My dad bought some nonalcoholic beer. Since it didn't have alcohol, I asked him if I could try it. He told me I wouldn't like it. I tried it, and made a terrible face.",0.0,content_diversity,I asked dad why he bought nonalcoholic beer.,"It tasted so bad, I asked my dad why he purchased it.",Why did dad buy this?,I wanted to know why dad bought nonalcoholic.,Why would he buy this kind of beer?,1.833,0.471,-0.061,0.903,-0.400,-0.899,-0.557,16.002187,0.494411,0.538350,8.614770,0.266166,42.478917,0.870178,0.000000,22.868505,0.468460
