sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_gpt2,metric_icl_E_rate_gpt2,metric_icl_C_gpt2,metric_icl_D_gpt2,metric_icl_D_rate_gpt2,metric_icl_E_gpt2_std,metric_icl_E_rate_gpt2_std,metric_icl_C_gpt2_std,metric_icl_D_gpt2_std,metric_icl_D_rate_gpt2_std
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,4.389,0.393,-0.015,0.967,-0.319,-0.656,-0.477,5.430799,0.306728,0.569379,3.092180,0.174644,39.008941,0.920724,0.000000,22.210856,0.524241
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,1.833,0.471,-0.185,0.667,-0.496,-0.887,-0.594,16.101921,0.943057,0.566180,9.116581,0.533940,18.668854,0.628349,0.000000,10.569926,0.355759
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,2.444,0.685,-0.067,0.733,-0.354,-0.775,-0.589,7.825201,0.564457,0.481872,3.770745,0.271996,23.342839,0.804477,0.000000,11.248259,0.387655
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,2.111,0.737,-0.058,0.943,-0.117,-0.866,-0.412,4.291976,0.286690,0.577838,2.480068,0.165661,48.989000,0.865911,0.000000,28.307718,0.500356
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,3.056,0.831,-0.017,0.958,-0.121,-0.742,-0.421,11.378328,0.476362,0.463495,5.273802,0.220792,72.475566,1.660029,0.000000,33.592088,0.769416
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,4.778,0.416,-0.009,0.974,-0.105,-0.601,-0.125,-12.967300,-0.087361,0.427836,-5.547882,-0.037376,120.006093,1.750675,0.000000,51.342968,0.749002
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,3.667,0.408,-0.027,0.547,-0.154,-0.637,-0.249,5.320133,0.311286,0.412647,2.195339,0.128451,21.824642,2.084248,0.000000,9.005879,0.860059
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,4.611,0.458,-0.089,0.885,-0.266,-0.667,-0.282,10.009615,0.389646,0.535426,5.359406,0.208626,22.405236,1.023764,0.000000,11.996341,0.548150
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,2.000,0.645,-0.147,0.774,-0.476,-0.934,-0.636,29.689914,0.712958,0.500256,14.852550,0.356661,22.854749,0.693244,0.000000,11.433220,0.346799
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",3.889,0.393,0.000,1.000,-0.242,-0.670,-0.221,8.964254,0.971090,0.308280,2.763497,0.299367,49.150546,1.876394,0.000000,15.152110,0.578454
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,4.889,0.208,-0.013,0.974,-0.003,-0.644,-0.158,0.610085,0.015584,0.395800,0.241472,0.006168,73.447281,1.459397,0.000000,29.070441,0.577630
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,3.857,0.742,-0.094,0.517,-0.515,-0.766,-0.382,14.582682,1.255465,0.299354,4.365382,0.375828,21.812680,1.300499,0.000000,6.529710,0.389309
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,4.389,0.737,-0.056,0.942,-0.218,-0.668,-0.176,3.881833,0.537130,0.440503,1.709959,0.236607,94.642818,2.095180,0.000000,41.690437,0.922933
test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,4.778,0.478,-0.019,0.960,-0.241,-0.593,-0.194,9.135583,0.001116,0.452432,4.133228,0.000505,38.626642,1.805215,0.000000,17.475917,0.816736
test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,4.889,0.314,0.000,1.000,-0.034,-0.548,-0.180,1.134371,0.000077,0.542087,0.614928,0.000042,29.885801,1.866968,0.000000,16.200716,1.012060
test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,2.833,0.408,-0.042,0.750,-0.272,-0.717,-0.552,4.763592,0.235113,0.561296,2.673784,0.131968,27.154693,1.165348,0.000000,15.241814,0.654105
test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,1.889,0.515,-0.416,0.579,-0.770,-0.973,-0.816,29.847220,0.788601,0.516447,15.414500,0.407270,15.447590,0.335257,0.000000,7.977858,0.173142
test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,2.889,0.875,-0.018,0.760,-0.435,-0.791,-0.507,16.547550,0.827647,0.374194,6.192000,0.309701,14.961979,0.763664,0.000000,5.598688,0.285759
