sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion,metric_icl_E_rate_qwen25_completion,metric_icl_C_qwen25_completion,metric_icl_D_qwen25_completion,metric_icl_D_rate_qwen25_completion,metric_icl_E_qwen25_completion_std,metric_icl_E_rate_qwen25_completion_std,metric_icl_C_qwen25_completion_std,metric_icl_D_qwen25_completion_std,metric_icl_D_rate_qwen25_completion_std
test.sa-sb.sa-b::00879,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,1.0,content_diversity,Rover became a part of the family.,Rover showed his affection by cuddling with them.,Sandra felt relieved that Rover was accepted so easily.,Rover wagged his tail all night.,The dog was more than happy to play all night.,-0.029,0.959,-0.283,-0.798,-0.460,5.393125,0.056409,0.662881,3.574999,0.037392,37.946586,0.376628,0.000000,25.154066,0.249660
test.sa-sb.sa-b::00879,Sandra adopted a new dog. Her family fell in love when they saw him. They decided to name him Rover. They played with him all night.,0.0,content_diversity,Rover was now family.,Rover fit in with Sandra's family.,Rover was a missing piece of Sandra's family.,Sandra and her family welcomed Rover into the fold.,Adopting Rover made Sandra and her family very pleased.,-0.096,0.871,-0.326,-0.960,-0.728,11.161250,0.235859,0.590057,6.585773,0.139170,18.957550,1.177189,0.000000,11.186035,0.694609
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",1.0,content_diversity,he was able to recover in time,he was still hurt,he could not do the contest,he could do the contest,he hurt his other ankle too,-0.083,0.883,-0.278,-0.685,-0.277,4.994160,0.288964,0.603131,3.012135,0.174283,27.370180,0.985435,0.000000,16.507817,0.594347
test.sa-sb.sa-b::00887,"Ken was a ballroom dancer. He had a big contest coming up. Unfortunately he hurt his ankle. Ken wasn't sure if he could do it, but practiced hard.",0.0,content_diversity,he recovers quickly,his recovery was on time,he was fully recovered by then,he was recuperated on time,his ankles heals on time,-0.072,0.893,-0.400,-0.790,-0.711,17.213359,0.628848,0.466475,8.029600,0.293342,18.620344,0.654965,0.000000,8.685923,0.305525
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,1.0,content_diversity,he was glad to speak to someone in english,he get to his room and rest,they decide tour the city together,they talk,they became friends,-0.025,0.963,-0.133,-0.625,-0.258,11.536367,0.299061,0.573033,6.610722,0.171372,59.944233,1.297611,0.000000,34.350040,0.743574
test.sa-sb.sa-b::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,0.0,content_diversity,they are friends,they became each other's friends,they decides to form a new friendship,they decides they can be friends with each other,they think they are compatible as friends,-0.094,0.907,-0.404,-0.950,-0.803,16.933828,0.449903,0.566164,9.587327,0.254719,40.352201,0.480695,0.000000,22.845970,0.272152
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",1.0,content_diversity,The minivan was rolling down the hill,The minivan crashed into a new car,He had to run and try to catch it,Minivan caused a lot of damage,Minivan almost hurt a child on a bike,-0.025,0.956,-0.290,-0.761,-0.271,-1.847812,0.022940,0.630073,-1.164257,0.014454,43.017043,1.081832,0.000000,27.103879,0.681633
test.sa-sb.sa-b::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,Minivan crashed into another car,Minivan almost smashed into a new car,New car was damaged by the minivan,Minivan was the reason for new car's damage,Minivan crashed into someone's brand new car,-0.080,0.895,-0.464,-0.980,-0.752,23.704297,0.641419,0.519159,12.306289,0.332998,43.895800,0.940631,0.000000,22.788881,0.488337
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The paint still peeled off.,The paint stayed on this time.,The primer improved the next paint job.,The man decided to hire another painter to help him.,The friend offered his help on the next job.,-0.057,0.923,-0.346,-0.815,-0.404,0.588594,-0.007273,0.631798,0.371872,-0.004595,41.663967,0.464754,0.000000,26.323191,0.293631
test.sa-sb.sa-b::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,0.0,content_diversity,The primer helped keep the paint in tact.,The primer was a great idea.,The paint did not peel this time.,The paint was long lasting after the primer was used.,Primer kept the paint on.,-0.064,0.908,-0.385,-0.903,-0.538,5.337344,0.018413,0.682528,3.642885,0.012567,21.947557,0.359670,0.000000,14.979815,0.245485
