sample_id,sidecar_key,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v3,metric_icl_E_rate_qwen25_completion_v3,metric_icl_C_qwen25_completion_v3,metric_icl_D_qwen25_completion_v3,metric_icl_D_rate_qwen25_completion_v3,metric_icl_E_qwen25_completion_v3_std,metric_icl_E_rate_qwen25_completion_v3_std,metric_icl_C_qwen25_completion_v3_std,metric_icl_D_qwen25_completion_v3_std,metric_icl_D_rate_qwen25_completion_v3_std
test.enc.prompt.txt::01240,test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,4.389,0.393,-0.015,0.967,-0.319,-0.656,-0.477,-4.360391,-0.112766,0.468489,-2.042794,-0.052830,39.297967,0.812926,0.000000,18.410655,0.380847
test.enc.prompt.txt::01241,test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,1.833,0.471,-0.185,0.667,-0.496,-0.887,-0.594,22.976719,1.700345,0.325150,7.470886,0.552868,14.998316,1.701100,0.000000,4.876707,0.553113
test.enc.prompt.txt::01245,test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,2.444,0.685,-0.067,0.733,-0.354,-0.775,-0.589,23.515938,1.344078,0.273689,6.436063,0.367860,15.585372,0.338108,0.000000,4.265551,0.092537
test.enc.prompt.txt::01246,test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,2.111,0.737,-0.058,0.943,-0.117,-0.866,-0.412,27.025000,1.493844,0.283284,7.655744,0.423182,67.813727,1.315654,0.000000,19.210529,0.372703
test.enc.prompt.txt::01247,test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,3.056,0.831,-0.017,0.958,-0.121,-0.742,-0.421,22.751875,0.838580,0.412694,9.389560,0.346077,40.849615,1.216738,0.000000,16.858388,0.502141
test.enc.prompt.txt::01252,test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,4.778,0.416,-0.009,0.974,-0.105,-0.601,-0.125,4.828750,0.238550,0.448509,2.165740,0.106992,58.636317,1.428005,0.000000,26.298944,0.640474
test.enc.prompt.txt::01256,test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,3.667,0.408,-0.027,0.547,-0.154,-0.637,-0.249,4.374844,0.301709,0.298557,1.306139,0.090077,33.041099,2.549255,0.000000,9.864641,0.761097
test.enc.prompt.txt::01259,test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,4.611,0.458,-0.089,0.885,-0.266,-0.667,-0.282,11.157656,0.441324,0.539372,6.018127,0.238038,24.543538,0.709750,0.000000,13.238097,0.382819
test.enc.prompt.txt::01265,test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,2.000,0.645,-0.147,0.774,-0.476,-0.934,-0.636,29.652969,0.688796,0.572233,16.968416,0.394152,16.788568,0.385268,0.000000,9.606977,0.220463
test.enc.prompt.txt::01266,test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",3.889,0.393,0.000,1.000,-0.242,-0.670,-0.221,-5.348672,0.210653,0.312014,-1.668862,0.065727,51.260969,2.076803,0.000000,15.994153,0.647992
test.enc.prompt.txt::01267,test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,4.889,0.208,-0.013,0.974,-0.003,-0.644,-0.158,2.908750,0.076335,0.446362,1.298354,0.034073,78.796400,1.662692,0.000000,35.171680,0.742162
test.enc.prompt.txt::01273,test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,3.857,0.742,-0.094,0.517,-0.515,-0.766,-0.382,0.304297,0.050495,0.284532,0.086582,0.014368,21.001772,2.406776,0.000000,5.975678,0.684805
test.enc.prompt.txt::01278,test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,4.389,0.737,-0.056,0.942,-0.218,-0.668,-0.176,10.935469,0.877986,0.401449,4.390036,0.352467,97.985240,2.087453,0.000000,39.336101,0.838006
test.enc.prompt.txt::01285,test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,4.778,0.478,-0.019,0.960,-0.241,-0.593,-0.194,8.247656,0.016788,0.449550,3.707732,0.007547,46.772707,1.765181,0.000000,21.026657,0.793536
test.enc.prompt.txt::01286,test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,4.889,0.314,0.000,1.000,-0.034,-0.548,-0.180,3.005156,0.094261,0.448262,1.347098,0.042254,31.373033,1.733016,0.000000,14.063347,0.776846
test.enc.prompt.txt::01287,test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,2.833,0.408,-0.042,0.750,-0.272,-0.717,-0.552,9.417656,0.547206,0.509106,4.794585,0.278586,19.402411,0.764054,0.000000,9.877882,0.388985
test.enc.prompt.txt::01289,test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,1.889,0.515,-0.416,0.579,-0.770,-0.973,-0.816,49.300625,1.326914,0.437981,21.592748,0.581163,13.236055,0.331323,0.000000,5.797144,0.145113
test.enc.prompt.txt::01292,test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,2.889,0.875,-0.018,0.760,-0.435,-0.791,-0.507,14.740156,0.731965,0.255064,3.759676,0.186697,11.806551,1.351151,0.000000,3.011421,0.344629
test.enc.prompt.txt::01294,test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,2.611,0.875,-0.054,0.941,-0.612,-0.821,-0.641,-4.465000,-0.653101,0.392713,-1.753464,-0.256481,25.575611,3.027888,0.000000,10.043876,1.189091
test.enc.prompt.txt::01305,test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",4.611,0.393,-0.045,0.922,-0.267,-0.657,-0.276,10.340000,0.456007,0.432071,4.467615,0.197027,30.211277,1.588555,0.000000,13.053419,0.686368
test.enc.prompt.txt::01313,test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",4.333,0.527,-0.032,0.961,0.002,-0.634,-0.140,12.996875,0.289173,0.457597,5.947330,0.132325,39.665417,0.523247,0.000000,18.150774,0.239436
test.enc.prompt.txt::01318,test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,1.444,0.369,-0.051,0.931,-0.339,-0.790,-0.690,57.924453,2.597814,0.246426,14.274068,0.640168,24.852517,0.997259,0.000000,6.124296,0.245750
test.enc.prompt.txt::01320,test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,3.889,0.875,-0.015,0.967,-0.168,-0.672,-0.224,15.771406,0.723811,0.262392,4.138288,0.189922,39.135881,2.367635,0.000000,10.268934,0.621248
test.enc.prompt.txt::01331,test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,2.167,0.408,-0.070,0.918,-0.569,-0.866,-0.754,16.035000,0.648186,0.519592,8.331656,0.336792,25.546551,0.736611,0.000000,13.273780,0.382737
test.enc.prompt.txt::01332,test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,3.611,0.393,-0.082,0.902,-0.121,-0.726,-0.198,-0.975313,0.215422,0.584086,-0.569667,0.125825,63.973288,1.464300,0.000000,37.365918,0.855278
test.enc.prompt.txt::01337,test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,3.611,1.021,-0.020,0.749,-0.283,-0.617,-0.437,16.886250,1.489598,0.264680,4.469450,0.394267,29.137902,2.968571,0.000000,7.712215,0.785721
test.enc.prompt.txt::00350,test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,2.250,0.433,-0.026,0.954,-0.287,-0.775,-0.412,3.811328,0.412065,0.427806,1.630508,0.176284,64.490193,1.174354,0.000000,27.589268,0.502395
test.enc.prompt.txt::00352,test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,4.389,0.657,-0.005,0.788,-0.144,-0.544,-0.109,9.907266,0.381766,0.427320,4.233572,0.163136,44.806742,2.114461,0.000000,19.146815,0.903551
test.enc.prompt.txt::00354,test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,4.312,0.827,-0.019,0.967,-0.189,-0.630,-0.209,10.143125,0.322426,0.476536,4.833568,0.153648,51.284901,0.804416,0.000000,24.439123,0.383333
test.enc.prompt.txt::00369,test.enc.prompt.txt::00369,Thank you for,1.0,content_diversity,Telling me I have the best smile you have seen all day,Stopping to help that older woman cross the street,Helping to watch the kids while I run errands,taking me out to dinner,all the work you have done for the team.,4.688,0.556,-0.038,0.940,-0.057,-0.586,-0.112,21.807500,0.467275,0.470786,10.266665,0.219987,53.294548,0.599765,0.000000,25.090326,0.282361
test.enc.prompt.txt::00371,test.enc.prompt.txt::00371,With all due,1.0,content_diversity,"respect, no.","respect, you are wrong.","respect, that's a lie.","respect, you are a robot.","respect, that isn't a car.",3.786,0.647,-0.095,0.873,-0.448,-0.897,-0.559,-5.206563,-0.219204,0.495665,-2.580710,-0.108652,35.013220,1.186977,0.000000,17.354824,0.588343
test.enc.prompt.txt::00373,test.enc.prompt.txt::00373,It's got to,1.0,content_diversity,"be right, I mean I went over it a hundred times.",the biggest highlight of my career.,be perfect with 100% precision.,the most hilarious thing I've ever seen.,be drilled into your mind that that is the way it's done.,4.389,0.698,-0.014,0.971,-0.145,-0.674,-0.361,-10.315625,0.122289,0.463782,-4.784201,0.056715,52.437131,0.724161,0.000000,24.319397,0.335853
test.enc.prompt.txt::00374,test.enc.prompt.txt::00374,His name's David,1.0,content_diversity,so he must be the one we are looking for,he was named from the Bible,he is named after his father,that must be a family name because it is not a modern name,he is the convict I heard about,4.000,0.624,-0.044,0.932,-0.077,-0.661,-0.286,17.289062,0.426062,0.419227,7.248035,0.178616,66.988114,1.261604,0.000000,28.083201,0.528898
test.enc.prompt.txt::00376,test.enc.prompt.txt::00376,I've never used,0.0,content_diversity,I get lost a lot but still haven't take the time to figure out the GPS.,I use maps instead of the GPS.,"I sometimes pull up Google maps on my phone, but don't use the GPS.","I have a great sense of direction, so I just drive off and don't try to figure out how to get somewhere.",I need to have my brother show me how to set up the GPS in my car.,2.389,1.074,-0.079,0.901,-0.347,-0.887,-0.299,38.300625,0.642094,0.380003,14.554360,0.243998,79.793042,0.497493,0.000000,30.321611,0.189049
test.enc.prompt.txt::00381,test.enc.prompt.txt::00381,For the best,0.0,content_diversity,i have no choice but to go to gym,i have some new clothes i must try on not with all this fat,well the physiotherapist recommended it,at least the ladies will love my new abs,my self esteem would finally be restored after this,3.778,0.533,-0.015,0.960,-0.115,-0.608,-0.242,53.653437,1.290574,0.295633,15.861744,0.381537,84.683606,0.856327,0.000000,25.035296,0.253159
test.enc.prompt.txt::00388,test.enc.prompt.txt::00388,A couple eggs,1.0,content_diversity,hatched yesterday on the farm.,would make the perfect size omelette.,will be needed for this cake.,were violently thrown at the house.,were colored by the kids for Easter.,4.500,0.527,-0.026,0.967,-0.224,-0.548,-0.155,6.320313,0.228732,0.500902,3.165855,0.114572,24.139052,0.573088,0.000000,12.091292,0.287061
test.enc.prompt.txt::00389,test.enc.prompt.txt::00389,He's carrying a,0.0,content_diversity,bag of enchanted stones out of plain view,bag of unusual trinkets unbeknownst to his peers,bag with high quality items in a secret compartment,bag with sacred jewels hidden,"bag with ideal jewels, stowed away",2.444,0.598,-0.055,0.936,-0.252,-0.877,-0.587,35.029062,0.740274,0.362939,12.713424,0.268675,45.756696,1.249885,0.000000,16.606904,0.453632
test.enc.prompt.txt::00392,test.enc.prompt.txt::00392,"Say, isn't that",0.0,content_diversity,something you've told me a million times.,information which is of no use to me at all.,interesting and absolutely worthless.,about the dumbest thing I've ever heard.,"nice, if it actually had any impact on me whatsoever.",3.333,0.816,-0.007,0.989,-0.124,-0.627,-0.343,2.604687,0.239039,0.489090,1.273928,0.116912,61.263643,0.817281,0.000000,29.963458,0.399724
test.enc.prompt.txt::00396,test.enc.prompt.txt::00396,...but after...awhile...you begin,1.0,content_diversity,to get tired of the whole thing,"to get used to it, and it gets easier and easier","to bleed, and you have to go to the hospital",to understand why she did the things she did,to know what your true life's passion is,4.333,0.624,-0.051,0.923,-0.219,-0.678,-0.162,7.153750,0.107698,0.605994,4.335126,0.065264,36.610006,0.760623,0.000000,22.185426,0.460933
test.enc.prompt.txt::00407,test.enc.prompt.txt::00407,"Excuse me, sir.",1.0,content_diversity,You said I was mad.,You wanted to have a good time with me.,You asked me what to do around here.,Please stop staring at me.,I have a weight issues.,4.222,0.533,-0.033,0.943,-0.337,-0.679,-0.188,8.708750,-0.015170,0.367973,3.204587,-0.005582,30.573671,1.940350,0.000000,11.250293,0.713997
test.enc.prompt.txt::00417,test.enc.prompt.txt::00417,She's going to,0.0,content_diversity,makes me cry when i see the faul ball.,take my innerds and make curry of them all.,teach my that crying is for kids.,why i should choose gum as i cry.,Why i don't go to a ball game.,4.111,0.657,-0.018,0.971,-0.180,-0.686,-0.186,25.313750,0.642033,0.213691,5.409323,0.137197,58.462655,0.982773,0.000000,12.492949,0.210010
test.enc.prompt.txt::00426,test.enc.prompt.txt::00426,"First squad up,",0.0,content_diversity,this is going to be a festive time.,this will be enjoyable.,i am very happy about this.,we are excited about this.,I can't wait to make this happen.,2.389,0.614,-0.049,0.945,-0.359,-0.809,-0.642,9.445625,0.474027,0.438496,4.141872,0.207859,24.925899,0.516868,0.000000,10.929915,0.226645
